epoch,loss,val_loss
1,0.0025396922137588263,0.0009723249240778387
2,0.001359519432298839,0.0009976911824196577
3,0.0012796357041224837,0.0009965929202735424
4,0.001226533204317093,0.0008932502241805196
5,0.0011623477330431342,0.0009060765733011067
6,0.0011082482524216175,0.0008931560441851616
7,0.0010672780917957425,0.000794153253082186
8,0.0010291693033650517,0.0007930754800327122
9,0.0009993239073082805,0.0007344104233197868
10,0.0009740213281475008,0.0008219773881137371
11,0.0009534740820527077,0.0007496709586121142
12,0.0009349088650196791,0.0007070882711559534
13,0.000922650913707912,0.000687462161295116
14,0.0009092752588912845,0.0007127841236069798
15,0.0008979167323559523,0.0007267554756253958
16,0.0008853125618770719,0.0006893071695230901
17,0.0008749402477405965,0.0006975764990784228
18,0.0008687064400874078,0.0006862347945570946
19,0.0008585879113525152,0.0006756485090591013
20,0.0008504200959578156,0.0007095267064869404
21,0.0008400090737268329,0.0006903582834638655
22,0.000832833640743047,0.000688816187903285
23,0.0008254694403149188,0.0006861133733764291
24,0.0008179850992746651,0.000740107090678066
