epoch,loss,val_loss
1,0.0020921521354466677,0.0010161505779251456
2,0.00120025675278157,0.000823638925794512
3,0.0010832808911800385,0.0007578379008919001
4,0.0010184189304709435,0.0007619875250384212
5,0.0009759890381246805,0.0008048043237067759
6,0.0009500353480689228,0.0007346515776589513
7,0.000928324181586504,0.0007317648269236088
8,0.0009109719539992511,0.000700593285728246
9,0.0008930067415349185,0.000719939882401377
10,0.0008818007772788405,0.0007148595759645104
11,0.0008681230247020721,0.0007086584810167551
12,0.00085804722039029,0.0007257728138938546
13,0.0008477545925416052,0.0007061586366035044
